loan_amnt,term,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,verification_status
7000,36 months,0,RENT,40000,debt_consolidation,CA,7.38,0,92.9,12,0,7,not verified
12000,36 months,4,RENT,50000,car,CA,20.88,0,90.8,11,1,5,not verified
12000,36 months,1,RENT,46000,credit_card,TX,8.11,0,52.1,12,0,11,not verified
21000,60 months,7,RENT,50000,debt_consolidation,WA,21.58,0,97.6,14,1,13,verified
16000,60 months,7,RENT,81000,credit_card,MA,20.52,0,75.1,21,0,13,verified
10000,36 months,0,OWN,39000,debt_consolidation,OR,18.58,0,72.7,10,0,7,not verified
10000,36 months,2,RENT,51400,credit_card,TX,19.14,0,59.1,24,0,11,not verified
7100,36 months,1,MORTGAGE,33000,debt_consolidation,TX,24,0,91.2,8,0,4,verified
17675,60 months,0,RENT,50000,debt_consolidation,WI,16.46,0,57.4,14,0,9,verified
8000,36 months,0,RENT,62000,debt_consolidation,VA,21.64,0,66.9,20,0,5,not verified
10000,60 months,10,RENT,45996,debt_consolidation,OH,21.73,0,30.1,15,1,14,verified
3500,36 months,7,MORTGAGE,55000,debt_consolidation,OH,5.39,0,45.9,12,0,6,not verified
12500,60 months,5,RENT,30000,debt_consolidation,MN,13.16,0,70.8,28,1,16,verified
16425,36 months,4,RENT,44544,debt_consolidation,CA,22.71,0,83.4,18,0,9,verified
8200,60 months,4,RENT,75000,small_business,CA,12.48,0,73.9,11,1,11,verified
15000,36 months,2,OWN,61000,credit_card,FL,11.88,0,79.5,18,0,7,verified
20975,60 months,5,MORTGAGE,44000,credit_card,GA,18.79,0,79.4,21,0,11,verified
6400,36 months,5,RENT,75000,debt_consolidation,CA,20.22,0,67.5,27,1,17,not verified
3000,36 months,1,RENT,33600,debt_consolidation,AL,18.11,0,83.2,7,0,6,not verified
12000,36 months,3,RENT,50000,credit_card,MA,20.57,0,97,19,0,6,not verified
14400,36 months,0,OWN,150000,debt_consolidation,NY,14.85,0,55,38,0,17,verified
12000,36 months,10,RENT,90000,debt_consolidation,NJ,16.56,0,78.5,36,0,27,not verified
11000,36 months,10,MORTGAGE,48000,debt_consolidation,TX,21.82,0,65,29,0,12,verified
7250,60 months,0,RENT,75000,debt_consolidation,CA,24.82,0,91.2,19,0,11,verified
15000,36 months,1,MORTGAGE,52000,small_business,TX,9.65,0,6.7,29,0,8,not verified
18000,60 months,10,MORTGAGE,65000,debt_consolidation,FL,6.81,0,77.8,40,0,22,not verified
35000,60 months,3,MORTGAGE,150000,home_improvement,NY,7.51,0,53.3,31,0,8,verified
10000,36 months,2,RENT,68000,credit_card,PA,15.39,0,81.3,15,0,5,verified
11800,36 months,6,RENT,42000,credit_card,NY,9.86,0,74.8,13,0,15,verified
4500,36 months,4,RENT,53000,major_purchase,CA,4.44,0,13.9,17,0,11,verified
7000,36 months,10,RENT,35000,credit_card,CA,11.35,0,82.3,26,0,11,verified
9200,36 months,2,RENT,60000,debt_consolidation,CA,19.96,0,78.7,19,0,9,verified
4500,60 months,0,MORTGAGE,42000,car,TX,5.4,0,78.3,9,0,28,verified
12000,36 months,9,RENT,88365,debt_consolidation,AZ,16.85,0,96.4,15,0,15,verified
12000,36 months,4,RENT,72000,debt_consolidation,CA,21.33,0,27.6,19,0,8,verified
12000,36 months,0,RENT,62000,credit_card,TX,23.94,0,78.4,51,0,9,verified
7000,36 months,3,MORTGAGE,43680,credit_card,MN,5.38,0,78.1,11,0,11,not verified
8200,60 months,3,RENT,120000,debt_consolidation,NY,2.8,0,88.4,6,0,4,verified
10500,36 months,10,RENT,66000,medical,CA,20.73,1,51.2,26,0,13,verified
7000,36 months,4,OWN,39120,debt_consolidation,FL,21.01,0,52.4,26,0,15,not verified
20000,60 months,4,MORTGAGE,47800,debt_consolidation,VA,10.04,0,46.3,27,0,10,verified
17500,60 months,7,MORTGAGE,45000,credit_card,WA,21.31,0,86.1,26,1,9,not verified
3500,36 months,10,MORTGAGE,83000,car,IL,2.31,0,13.4,28,0,25,verified
6200,36 months,2,RENT,25000,debt_consolidation,CA,20.64,0,47.7,12,1,13,not verified
6000,36 months,8,OWN,28800,debt_consolidation,NJ,13.17,0,36.8,13,0,6,not verified
7200,36 months,6,RENT,135000,credit_card,NY,6.12,0,79.6,18,0,14,not verified
9500,36 months,7,MORTGAGE,50000,credit_card,TX,8.18,0,60.5,13,0,6,not verified
18825,60 months,10,RENT,38000,debt_consolidation,TX,23.18,0,79.7,7,1,7,verified
24000,36 months,10,RENT,45000,debt_consolidation,CA,14.8,0,55.2,9,0,21,verified
6000,36 months,10,RENT,80000,debt_consolidation,CA,11.58,0,83.8,16,0,9,not verified
6000,36 months,5,RENT,50000,debt_consolidation,AZ,15.38,0,91.5,7,0,7,not verified
2100,36 months,10,MORTGAGE,30000,vacation,LA,19.72,0,82.9,26,0,16,not verified
5500,36 months,8,MORTGAGE,110000,small_business,CT,9.69,0,21.9,26,0,17,verified
11000,36 months,8,OWN,45608,debt_consolidation,LA,20.5,0,58.7,11,0,19,verified
26800,60 months,3,MORTGAGE,120000,debt_consolidation,FL,12.15,0,48,18,0,5,verified
8000,36 months,5,MORTGAGE,35000,debt_consolidation,IL,10.05,0,97.7,18,0,9,not verified
10000,36 months,1,RENT,75000,credit_card,CA,24.14,0,96.3,26,1,14,verified
8000,36 months,9,MORTGAGE,35000,credit_card,NV,9.7,0,46.5,8,0,5,verified
10000,36 months,6,RENT,24000,debt_consolidation,CA,7,0,49.5,21,0,11,verified
12000,36 months,2,MORTGAGE,126000,debt_consolidation,OH,13.32,0,54.1,38,0,21,not verified
10000,36 months,1,RENT,43000,debt_consolidation,CA,25.26,0,37.2,16,0,8,not verified
12000,36 months,1,RENT,50000,debt_consolidation,CA,16.44,0,29.3,25,0,11,not verified
19750,36 months,4,RENT,45000,debt_consolidation,OR,22.8,0,54.2,28,1,11,verified
10000,36 months,3,RENT,31200,debt_consolidation,NY,14.81,0,27,19,0,6,verified
13650,36 months,4,RENT,66000,debt_consolidation,NV,24.09,0,56.5,34,0,10,verified
28000,60 months,10,RENT,52000,debt_consolidation,TX,20.7,0,87.6,16,1,23,verified
18000,36 months,10,RENT,56964,debt_consolidation,CA,27.55,0,76.6,20,0,12,verified
2500,36 months,7,RENT,49500,debt_consolidation,FL,10.33,0,37.7,20,0,7,verified
21000,60 months,10,RENT,70000,credit_card,CO,23.21,0,70.7,25,0,20,verified
35000,36 months,6,MORTGAGE,125000,debt_consolidation,CA,22.71,0,34.8,32,0,11,verified
10000,36 months,3,RENT,33000,credit_card,NJ,9.75,0,0.6,19,0,7,not verified
7000,36 months,0,RENT,30000,credit_card,VA,15.8,0,47.6,11,0,7,verified
24000,36 months,8,MORTGAGE,90000,home_improvement,CA,9.17,0,71.2,23,1,16,verified
10625,36 months,5,MORTGAGE,23000,medical,OR,18.89,0,43.4,21,0,6,not verified
5000,36 months,2,RENT,24000,debt_consolidation,PA,18.3,0,33.3,9,0,6,verified
8850,36 months,10,RENT,62000,credit_card,MD,17.71,0,35.9,19,0,13,verified
6375,36 months,4,RENT,44000,debt_consolidation,GA,4.8,0,58,11,0,11,verified
6000,36 months,1,RENT,90000,credit_card,NJ,2.97,1,56.6,23,0,4,not verified
11100,36 months,10,RENT,41000,credit_card,PA,29.85,0,62.3,18,1,20,verified
10000,60 months,2,MORTGAGE,56000,debt_consolidation,CA,10.82,0,31.2,18,0,11,verified
6200,36 months,5,MORTGAGE,26500,small_business,WV,18.2,0,16,18,0,11,not verified
15000,36 months,1,RENT,54000,debt_consolidation,GA,19.69,0,90.3,12,0,5,not verified
4200,36 months,2,RENT,53000,other,MD,16.91,0,79.7,22,0,9,not verified
14000,36 months,4,RENT,52800,debt_consolidation,CA,7.36,0,70.8,14,0,6,not verified
8875,36 months,1,MORTGAGE,38000,debt_consolidation,GA,23.53,0,62.1,27,0,18,not verified
13500,36 months,7,RENT,38000,debt_consolidation,CA,12.38,0,67.3,7,0,14,verified
12000,36 months,2,RENT,42000,debt_consolidation,MN,7.83,0,65.4,16,1,5,not verified
16000,60 months,4,RENT,55000,debt_consolidation,WA,15.8,0,72.4,19,0,7,verified
21600,60 months,8,MORTGAGE,60000,debt_consolidation,GA,16.74,1,78.1,21,0,21,verified
6000,36 months,6,MORTGAGE,87000,home_improvement,NJ,12.86,2,40.5,22,0,11,not verified
20000,60 months,1,RENT,82000,credit_card,OH,17.68,0,61.4,23,0,16,not verified
10000,36 months,8,RENT,60000,debt_consolidation,CA,22.08,0,29.3,26,1,10,not verified
12000,36 months,5,MORTGAGE,80000,credit_card,GA,18.18,0,97.2,11,0,9,verified
13475,60 months,10,RENT,25000,credit_card,CA,21.89,0,65.8,14,1,10,verified
7200,36 months,5,RENT,48000,major_purchase,IL,17.43,0,80.2,10,0,5,not verified
5600,36 months,1,MORTGAGE,85000,debt_consolidation,AZ,12.24,1,90.8,31,1,12,not verified
12000,36 months,0,RENT,57000,debt_consolidation,CA,10.86,0,81.5,11,0,13,verified
8500,36 months,2,RENT,25000,credit_card,MD,1.73,0,28,18,0,6,not verified
8000,36 months,2,RENT,34000,credit_card,PA,18.28,0,78.5,7,0,6,verified
8000,36 months,10,RENT,40000,credit_card,OR,15,0,88.2,11,0,7,not verified
15000,36 months,2,MORTGAGE,44400,house,FL,3.59,1,91.6,16,0,28,verified
10000,36 months,2,OWN,30000,debt_consolidation,VT,11.24,0,66.8,30,0,16,not verified
10000,36 months,5,MORTGAGE,70000,credit_card,NY,16.78,0,69,18,0,17,not verified
8000,36 months,3,RENT,28000,car,CA,12.6,0,54.3,11,0,5,not verified
22000,36 months,2,MORTGAGE,50000,debt_consolidation,MI,13.22,0,49.8,32,0,13,verified
6000,36 months,10,MORTGAGE,94800,car,TX,24.53,0,95.9,30,0,25,verified
13500,36 months,2,MORTGAGE,36000,credit_card,DC,22.93,0,67.2,15,0,31,verified
25000,36 months,2,RENT,225000,debt_consolidation,NJ,8.32,1,34.6,23,0,7,verified
10000,36 months,2,RENT,45900,small_business,CA,24.97,0,48.3,12,0,7,verified
2500,36 months,4,RENT,27200,debt_consolidation,WA,6.44,0,68.1,6,0,3,not verified
7325,36 months,1,RENT,42000,debt_consolidation,FL,22.57,0,65,29,0,15,not verified
4000,36 months,5,RENT,135000,credit_card,NY,12.12,0,85.7,21,0,7,verified
10000,36 months,5,RENT,65000,small_business,CA,6.92,1,69.5,17,1,12,not verified
7750,36 months,0,RENT,24000,debt_consolidation,IL,16.1,0,67.1,7,1,7,not verified
20000,60 months,6,RENT,70000,debt_consolidation,FL,16.63,0,79.9,24,1,9,verified
9600,36 months,10,RENT,65000,debt_consolidation,NY,11.65,0,70.9,11,0,9,verified
21000,60 months,3,RENT,60000,debt_consolidation,CA,6.62,0,79.9,11,1,21,not verified
14000,36 months,3,RENT,30000,credit_card,CT,15.52,0,65.6,14,0,5,verified
13350,36 months,10,RENT,43000,debt_consolidation,CA,20.57,0,95.3,15,0,12,not verified
15000,36 months,10,RENT,42000,debt_consolidation,WI,19.63,0,74.9,38,1,10,verified
15000,36 months,8,RENT,75000,debt_consolidation,CA,16.03,0,75.9,17,1,20,verified
35000,36 months,2,MORTGAGE,168000,debt_consolidation,TX,3.17,1,1.4,22,0,9,verified
9000,36 months,9,MORTGAGE,74000,credit_card,SD,8.89,0,71.7,10,0,13,verified
16000,36 months,1,RENT,58500,debt_consolidation,IL,20.64,0,89.3,10,1,17,verified
13500,36 months,5,RENT,71000,debt_consolidation,VA,11.97,0,77.7,11,0,13,verified
24000,36 months,10,RENT,75000,debt_consolidation,WA,11.6,0,84.6,33,0,15,verified
12000,36 months,5,RENT,60000,credit_card,CA,10.84,0,48.8,18,0,9,not verified
28000,60 months,5,MORTGAGE,140000,home_improvement,NC,12.07,0,13.4,24,0,5,verified
14000,36 months,10,RENT,66000,debt_consolidation,VA,11.15,0,35.4,46,0,12,verified
12000,36 months,8,MORTGAGE,70000,other,NY,8.4,0,86.2,12,1,6,not verified
25000,36 months,10,MORTGAGE,1.00E+05,debt_consolidation,RI,6.88,0,89.1,18,0,25,verified
9000,36 months,5,RENT,50000,debt_consolidation,NY,17.81,0,55.4,21,0,10,verified
13250,36 months,4,RENT,35000,debt_consolidation,OH,24.93,0,58.7,25,0,9,not verified
20000,36 months,6,RENT,75000,debt_consolidation,CA,22.38,0,90.8,17,0,13,verified
3000,36 months,5,RENT,71000,medical,WI,21.84,0,88.7,14,0,8,verified
7350,36 months,10,MORTGAGE,48000,debt_consolidation,AR,11.93,0,77.5,5,0,5,not verified
11500,36 months,5,RENT,36000,debt_consolidation,FL,21.1,0,76.7,14,0,13,not verified
13650,36 months,10,MORTGAGE,86000,debt_consolidation,CA,12.29,0,73.4,34,1,17,not verified
10500,36 months,3,RENT,30000,debt_consolidation,CA,15,0,55.5,8,1,4,verified
12000,36 months,2,RENT,60000,debt_consolidation,CA,15.5,0,85.7,21,0,8,not verified
6000,36 months,3,RENT,34000,credit_card,OH,14.51,0,64.8,16,0,7,not verified
11500,36 months,10,MORTGAGE,44200,credit_card,CA,21.69,0,90,11,0,7,verified
7000,36 months,7,MORTGAGE,82000,debt_consolidation,MD,12,0,71.6,31,0,9,not verified
2000,36 months,2,RENT,41000,moving,TX,17.74,0,96.4,11,0,7,verified
11625,36 months,0,MORTGAGE,36000,credit_card,KS,19.33,0,84.7,31,0,18,verified
15075,36 months,10,RENT,35000,debt_consolidation,TX,20.16,0,89.6,14,1,11,verified
5300,36 months,1,RENT,30000,credit_card,CT,24.88,0,82.7,13,0,6,verified
8200,36 months,0,RENT,40000,home_improvement,PA,11.1,0,25.5,11,0,11,verified
12000,36 months,9,MORTGAGE,105000,credit_card,TX,13.98,0,75,25,0,20,not verified
8650,36 months,4,MORTGAGE,45000,credit_card,FL,7.6,0,58.9,23,0,6,verified
12000,36 months,2,RENT,83000,debt_consolidation,CA,11.81,0,51.1,61,0,10,not verified
9500,36 months,0,MORTGAGE,52500,moving,CA,23.54,0,75.3,42,1,12,verified
7400,36 months,0,OWN,25000,debt_consolidation,AZ,8.45,0,92.8,13,0,21,verified
14400,36 months,10,MORTGAGE,60000,debt_consolidation,FL,16.92,0,65,26,0,15,not verified
24250,60 months,7,MORTGAGE,120000,debt_consolidation,AZ,12.96,0,99,20,0,11,verified
7200,36 months,3,RENT,68000,debt_consolidation,GA,7.98,0,82.9,14,1,9,verified
26000,60 months,10,MORTGAGE,53000,home_improvement,NC,11.77,0,72.7,14,1,13,verified
7000,60 months,6,MORTGAGE,69600,credit_card,WA,26.22,0,90.9,23,1,32,verified
4000,36 months,0,RENT,65000,major_purchase,CA,18.17,0,50.7,24,0,9,verified
1500,36 months,10,MORTGAGE,144000,debt_consolidation,CA,8.23,1,97.8,14,0,15,verified
19600,36 months,2,RENT,75000,credit_card,NY,11.62,0,50.1,12,0,5,verified
2500,36 months,7,MORTGAGE,29000,debt_consolidation,AZ,18.7,0,66.7,13,0,6,verified
10000,36 months,2,RENT,70000,credit_card,CA,2.69,0,70.2,6,1,11,not verified
10000,36 months,5,RENT,45000,credit_card,OH,26.85,0,70.4,40,0,30,not verified
4225,36 months,5,MORTGAGE,55200,other,WA,17.61,0,73.7,12,0,9,not verified
3500,36 months,7,MORTGAGE,61440,vacation,CA,6.46,1,55.5,19,0,14,not verified
12000,36 months,10,MORTGAGE,56000,debt_consolidation,FL,13.65,0,80.3,21,0,11,not verified
16500,36 months,0,RENT,47000,debt_consolidation,IL,9.06,0,38.8,24,0,10,verified
22000,60 months,0,RENT,55000,debt_consolidation,WA,15.62,0,79.4,27,0,10,verified
12000,36 months,1,RENT,71000,credit_card,KS,14.87,0,71,38,0,12,verified
10800,36 months,8,RENT,135000,credit_card,CA,12.12,0,74.5,23,0,9,verified
14000,36 months,10,MORTGAGE,63000,credit_card,GA,7.35,0,97.8,19,0,18,not verified
6000,36 months,5,MORTGAGE,50000,debt_consolidation,NM,15.58,0,83.6,14,0,8,not verified
12000,36 months,5,RENT,80000,debt_consolidation,TX,14.83,0,67.7,21,0,11,not verified
10000,36 months,4,RENT,45000,debt_consolidation,WA,10.45,0,51.6,19,0,6,not verified
8000,36 months,2,RENT,78000,vacation,NY,6.09,0,55.9,31,0,5,not verified
14125,36 months,1,RENT,33000,debt_consolidation,OR,23.13,0,66,20,0,14,verified
14000,36 months,5,RENT,62800,debt_consolidation,WA,19.24,0,64.5,18,0,17,not verified
13200,60 months,3,RENT,26400,small_business,TX,9.64,0,50.1,12,0,5,verified
4000,36 months,10,MORTGAGE,80000,vacation,NC,20.59,1,22.6,56,0,14,not verified
4000,36 months,2,RENT,25000,debt_consolidation,CO,6.86,0,79.7,13,1,6,not verified
10500,36 months,10,MORTGAGE,65000,debt_consolidation,TX,10.36,0,18.7,16,0,30,verified
5500,36 months,10,OWN,59000,car,PA,6.65,0,43.3,23,0,20,verified
7350,36 months,1,RENT,33000,debt_consolidation,CA,22.51,0,77.9,23,0,13,verified
10000,36 months,10,RENT,39000,credit_card,MO,18.31,0,90.6,19,1,13,verified
12000,36 months,10,RENT,42000,debt_consolidation,OH,10.74,0,43,17,0,17,not verified
8000,60 months,3,OWN,31000,other,OR,16.22,0,34.4,29,0,5,verified
4500,36 months,10,MORTGAGE,50700,other,NC,23.43,0,24.4,20,0,15,verified
18000,36 months,1,OWN,75000,credit_card,LA,12.51,0,66.1,27,0,20,verified
12000,36 months,6,RENT,40000,debt_consolidation,GA,15.72,0,80.5,13,0,12,not verified
10000,36 months,10,MORTGAGE,50000,credit_card,CA,5.88,1,47.6,15,0,13,not verified
6000,36 months,7,MORTGAGE,80000,other,WI,8.87,0,30.3,29,0,18,not verified
12000,36 months,4,RENT,40000,debt_consolidation,MD,22.2,0,55.5,23,0,13,not verified
12000,36 months,7,RENT,80000,other,CA,9.13,0,83.5,16,1,8,not verified
7000,36 months,2,RENT,75000,debt_consolidation,CA,15.57,0,94.1,17,0,10,verified
35000,60 months,8,MORTGAGE,85000,debt_consolidation,IL,12,0,53,50,0,16,verified
1400,36 months,1,RENT,28800,other,FL,10,0,9.9,7,0,8,not verified
16000,60 months,10,RENT,35000,small_business,NC,16.22,0,58.5,14,1,9,verified
3200,36 months,9,RENT,61200,debt_consolidation,CA,2.16,0,33.3,17,0,12,not verified
8000,36 months,1,RENT,40000,medical,CA,13.35,0,34.4,11,0,15,not verified
11875,60 months,0,RENT,25920,debt_consolidation,CA,23.75,0,94.1,28,1,10,verified
5000,36 months,9,MORTGAGE,54000,home_improvement,NJ,3.82,0,4,14,0,13,not verified
1800,36 months,10,RENT,18000,small_business,MI,23.8,0,39.8,12,0,10,not verified
35000,36 months,5,RENT,85000,debt_consolidation,IL,17.73,0,61.5,13,0,10,verified
18000,36 months,5,RENT,78000,credit_card,NY,7,0,66.3,10,0,13,verified
14000,36 months,10,OWN,45600,debt_consolidation,WV,19.74,0,63.9,10,1,19,not verified
5000,36 months,2,RENT,70000,debt_consolidation,TX,20.06,0,54.2,26,0,7,not verified
8000,36 months,4,RENT,70000,credit_card,IL,14.04,0,91.9,30,0,11,verified
10000,36 months,9,MORTGAGE,80000,debt_consolidation,MA,12.99,0,45.2,17,0,24,not verified
10000,36 months,5,RENT,50000,debt_consolidation,NJ,4.63,0,25.7,25,0,5,verified
12000,36 months,10,MORTGAGE,35000,debt_consolidation,CO,18.51,0,75.7,13,0,13,verified
23200,36 months,3,MORTGAGE,65000,debt_consolidation,MI,27.99,0,47,34,0,10,verified
4800,36 months,10,MORTGAGE,75000,debt_consolidation,WV,9.3,0,73.7,18,0,8,not verified
7300,36 months,6,RENT,35000,debt_consolidation,VA,16.42,0,44.6,17,0,9,not verified
10400,36 months,6,RENT,40000,debt_consolidation,FL,11.67,0,80.6,19,0,12,verified
6600,36 months,1,MORTGAGE,1.00E+05,house,FL,15.53,0,27.8,30,0,9,not verified
12000,36 months,7,OWN,40000,debt_consolidation,NJ,9.45,0,37.4,20,0,9,not verified
13250,36 months,10,RENT,52000,debt_consolidation,NY,23.7,0,91.5,18,0,13,verified
12000,36 months,3,RENT,92500,debt_consolidation,CA,15.97,0,56.2,21,0,5,verified
25000,36 months,9,RENT,61000,debt_consolidation,CA,10.35,0,49.4,10,0,15,verified
6000,36 months,10,RENT,36000,other,HI,14.43,0,48.5,9,0,14,not verified
12000,36 months,10,MORTGAGE,68000,credit_card,CA,7.08,0,55.6,34,0,20,not verified
14400,36 months,1,RENT,80000,credit_card,CA,16.35,0,48.4,16,0,16,not verified
10000,36 months,10,RENT,43000,credit_card,NY,11.58,0,65.5,33,0,11,not verified
8000,36 months,1,RENT,150000,credit_card,NY,2.48,1,56.2,8,0,15,not verified
8000,36 months,5,RENT,50000,credit_card,NV,13.22,0,72.9,12,1,6,not verified
30000,60 months,3,RENT,70000,small_business,TX,0.94,0,3.2,14,1,5,verified
18000,60 months,6,OWN,40000,home_improvement,CA,18.42,0,73.4,20,1,11,not verified
13250,36 months,2,OWN,35000,credit_card,PA,22.35,0,67.2,21,0,7,not verified
14000,36 months,6,RENT,80000,debt_consolidation,CA,16.21,0,96.2,11,0,9,not verified
20000,60 months,10,OWN,59000,debt_consolidation,AK,20.91,0,83.1,32,1,11,verified
10000,36 months,10,RENT,40000,credit_card,NY,24.39,0,96.4,18,0,10,verified
4000,36 months,1,RENT,55000,debt_consolidation,OR,7.05,0,43.8,18,0,10,not verified
13000,36 months,6,RENT,110000,debt_consolidation,CA,8.38,0,81.3,14,0,10,not verified
28000,36 months,5,RENT,1.00E+05,credit_card,WI,12.35,0,67.5,15,0,11,verified
10000,36 months,3,RENT,62000,debt_consolidation,MA,11.52,0,79.1,20,0,11,not verified
20000,36 months,0,RENT,45000,debt_consolidation,GA,9.25,0,74.9,10,0,30,verified
18000,36 months,5,RENT,110000,debt_consolidation,FL,10,0,62.5,22,0,11,verified
9000,60 months,3,RENT,60000,credit_card,CA,22.56,0,91.1,30,1,14,verified
10000,36 months,3,RENT,33000,other,NY,8.69,0,88.3,9,0,11,not verified
4200,36 months,3,RENT,61000,credit_card,NJ,8.92,0,12.9,16,0,8,not verified
20000,60 months,10,OWN,78216,debt_consolidation,CA,10.79,0,80.3,21,1,16,verified
24000,36 months,2,RENT,50964,debt_consolidation,GA,8.83,1,69.4,13,0,8,verified
4475,36 months,3,RENT,43680,credit_card,CO,18.79,0,33.5,29,0,11,not verified
12000,36 months,5,RENT,50700,credit_card,NJ,22.49,0,80.8,18,0,8,verified
5000,36 months,2,RENT,30000,debt_consolidation,SC,23.84,0,89.7,40,1,10,verified
3000,36 months,5,RENT,50000,other,VA,5.5,0,29.4,15,0,8,not verified
12000,36 months,10,RENT,55000,debt_consolidation,RI,13,0,75.5,17,1,13,not verified
20000,36 months,10,MORTGAGE,50000,other,MA,4.34,0,52.7,12,0,9,verified
10000,36 months,3,RENT,84000,debt_consolidation,CA,13.87,0,68.7,10,0,4,verified
15000,36 months,6,OWN,155000,debt_consolidation,GA,17.85,0,74.9,41,0,21,verified
12000,36 months,0,MORTGAGE,62000,debt_consolidation,MD,8.71,0,57.7,15,0,9,verified
6300,36 months,2,RENT,30000,credit_card,NY,7.2,0,84.3,11,0,20,not verified
35000,60 months,8,MORTGAGE,208000,debt_consolidation,MD,7.94,0,23.5,79,0,18,verified
8250,60 months,2,MORTGAGE,35004,home_improvement,NY,15.6,2,7.7,21,0,8,verified
10000,36 months,5,RENT,32000,credit_card,FL,21.83,0,59.6,23,1,10,not verified
